Name	Start	Duration	Time Format	Type	Description
START	1:00:00.000	0:00.000	decimal	Cue	
CCX	1:00:06.330	0:00.138	decimal	Cue	
BEEP 01:16:30 	1:00:10.605	0:00.000	decimal	Cue	
SYNCH 01:16:30   	1:00:10.747	0:02.013	decimal	Cue	
CC	1:00:15.043	0:00.083	decimal	Cue	
CC	1:00:35.627	0:00.191	decimal	Cue	
CCX	1:00:39.664	0:00.136	decimal	Cue	
CCX	1:00:47.877	0:00.245	decimal	Cue	
CC	1:01:10.577	0:00.145	decimal	Cue	
CC	1:01:14.981	0:00.170	decimal	Cue	
CC NONFOC	1:01:36.832	0:00.167	decimal	Cue	
CCX	1:01:38.861	0:00.113	decimal	Cue	
BEEP 01:18:00	1:01:40.865	0:00.000	decimal	Cue	
SYNCH 01:18:00	1:01:40.970	0:01.071	decimal	Cue	
CC	1:01:43.132	0:00.199	decimal	Cue	
CC*	1:02:02.173	0:00.171	decimal	Cue	
CC	1:02:12.863	0:00.153	decimal	Cue	
CCX*	1:02:43.948	0:00.110	decimal	Cue	
SYNCH 01:19:30	1:03:11.190	0:01.943	decimal	Cue	
BEEP 01:21:00	1:04:41.351	0:00.000	decimal	Cue	
SYNCH 01:21:00	1:04:41.400	0:01.354	decimal	Cue	
CC	1:05:03.938	0:00.154	decimal	Cue	
CCX	1:05:51.567	0:00.153	decimal	Cue	
BEEP 01:24:00	1:07:41.796	0:00.000	decimal	Cue	
SYNCH 01:24:00	1:07:41.941	0:01.226	decimal	Cue	
CCX	1:09:28.293	0:00.212	decimal	Cue	
CCX	1:09:33.719	0:00.206	decimal	Cue	
CC	1:09:37.000	0:00.227	decimal	Cue	
CCX	1:09:41.435	0:00.230	decimal	Cue	
CC	1:09:46.253	0:00.178	decimal	Cue	
CC	1:10:07.028	0:00.199	decimal	Cue	
CCX	1:10:13.233	0:00.177	decimal	Cue	
CCX	1:10:18.496	0:00.168	decimal	Cue	
CC	1:10:22.253	0:00.202	decimal	Cue	
CCX	1:10:34.920	0:00.189	decimal	Cue	
CC	1:10:43.553	0:00.175	decimal	Cue	
ALARM	1:10:56.215	0:00.178	decimal	Cue	
ALARM	1:12:04.643	0:00.317	decimal	Cue	
ALARM	1:12:15.132	0:00.192	decimal	Cue	
ALARM	1:12:15.427	0:00.134	decimal	Cue	
ALARM	1:12:39.271	0:00.134	decimal	Cue	
ALARM	1:13:17.280	0:00.175	decimal	Cue	
ALARM	1:13:45.675	0:00.165	decimal	Cue	
CC	1:15:20.995	0:00.156	decimal	Cue	
CC	1:15:23.179	0:00.129	decimal	Cue	
CC	1:15:25.829	0:00.166	decimal	Cue	
CC	1:15:32.925	0:00.207	decimal	Cue	
CCX	1:15:41.173	0:00.132	decimal	Cue	
CC	1:15:46.064	0:00.122	decimal	Cue	
CCX	1:16:14.008	0:00.155	decimal	Cue	
CC	1:16:22.212	0:00.126	decimal	Cue	
CCX	1:16:43.876	0:00.187	decimal	Cue	
CC	1:17:01.565	0:00.228	decimal	Cue	
CC	1:17:05.136	0:00.239	decimal	Cue	
CCX	1:17:08.040	0:00.224	decimal	Cue	
CC	1:17:16.774	0:00.193	decimal	Cue	
CC	1:17:26.797	0:00.174	decimal	Cue	
CC	1:17:33.105	0:00.147	decimal	Cue	
CC	1:17:36.741	0:00.139	decimal	Cue	
CC	1:17:42.125	0:00.208	decimal	Cue	
CC	1:17:50.861	0:00.152	decimal	Cue	
CC	1:17:55.976	0:00.173	decimal	Cue	
CC	1:18:00.359	0:00.142	decimal	Cue	
CC	1:18:12.284	0:00.161	decimal	Cue	
CC	1:18:19.208	0:00.176	decimal	Cue	
CCX	1:18:22.522	0:00.192	decimal	Cue	
CCX	1:18:25.041	0:00.160	decimal	Cue	
CCX	1:18:28.688	0:00.159	decimal	Cue	
CCX	1:18:32.868	0:00.110	decimal	Cue	
CC	1:18:37.799	0:00.137	decimal	Cue	
CC	1:18:48.368	0:00.191	decimal	Cue	
CCX	1:18:53.252	0:00.195	decimal	Cue	
CC	1:19:20.019	0:00.201	decimal	Cue	
CC	1:19:45.960	0:00.144	decimal	Cue	
CC	1:19:56.923	0:00.112	decimal	Cue	
CC	1:20:06.507	0:00.188	decimal	Cue	
CCX	1:20:23.903	0:00.153	decimal	Cue	
CCX	1:20:33.938	0:00.174	decimal	Cue	
CCX	1:20:38.623	0:00.139	decimal	Cue	
CCX	1:20:49.564	0:00.155	decimal	Cue	
CC	1:21:14.433	0:00.145	decimal	Cue	
CCX	1:21:18.909	0:00.260	decimal	Cue	
CCX	1:21:34.024	0:00.174	decimal	Cue	
CC	1:21:40.006	0:00.183	decimal	Cue	
CCX	1:21:44.793	0:00.197	decimal	Cue	
CC	1:21:49.794	0:00.204	decimal	Cue	
CC	1:21:58.601	0:00.153	decimal	Cue	
CCX	1:22:02.511	0:00.218	decimal	Cue	
CCX	1:22:13.304	0:00.248	decimal	Cue	
CC	1:22:19.652	0:00.191	decimal	Cue	
CC	1:22:25.818	0:00.183	decimal	Cue	
CCX	1:22:30.513	0:00.184	decimal	Cue	
CCX	1:22:35.486	0:00.175	decimal	Cue	
CC	1:22:38.690	0:00.213	decimal	Cue	
CC	1:22:42.695	0:00.143	decimal	Cue	
CCX	1:22:44.936	0:00.132	decimal	Cue	
CCX	1:22:53.990	0:00.178	decimal	Cue	
CCX	1:23:02.985	0:00.168	decimal	Cue	
CC	1:23:07.271	0:00.139	decimal	Cue	
CCX?	1:23:12.816	0:00.182	decimal	Cue	
CC	1:23:20.563	0:00.175	decimal	Cue	
CC	1:23:24.644	0:00.143	decimal	Cue	
CC	1:23:33.285	0:00.168	decimal	Cue	
AGG	1:23:38.212	0:00.148	decimal	Cue	
AGG	1:23:40.769	0:00.135	decimal	Cue	
AGG	1:23:40.997	0:00.080	decimal	Cue	
CCX	1:23:47.894	0:00.113	decimal	Cue	
CCX	1:23:52.334	0:00.170	decimal	Cue	
CCX	1:23:58.618	0:00.141	decimal	Cue	
CCX	1:24:06.735	0:00.197	decimal	Cue	
CC	1:24:18.079	0:00.188	decimal	Cue	
CC	1:24:32.787	0:00.185	decimal	Cue	
CCX	1:24:53.705	0:00.202	decimal	Cue	
CCX	1:25:02.743	0:00.161	decimal	Cue	
CCX	1:25:07.155	0:00.214	decimal	Cue	
CC	1:25:14.442	0:00.146	decimal	Cue	
CCX	1:25:41.907	0:00.233	decimal	Cue	
CC	1:25:51.610	0:00.164	decimal	Cue	
CC	1:26:00.192	0:00.163	decimal	Cue	
CC	1:27:04.318	0:00.163	decimal	Cue	
CCX	1:27:17.523	0:00.140	decimal	Cue	
CC	1:27:25.000	0:00.172	decimal	Cue	
CCX	1:27:34.121	0:00.173	decimal	Cue	
CC	1:27:43.634	0:00.167	decimal	Cue	
CC	1:27:47.167	0:00.161	decimal	Cue	
CC*	1:28:46.486	0:00.140	decimal	Cue	
CC	1:28:52.004	0:00.154	decimal	Cue	
CC	1:28:56.417	0:00.147	decimal	Cue	
CC	1:29:08.714	0:00.181	decimal	Cue	
CC	1:29:12.708	0:00.165	decimal	Cue	
CCX	1:29:53.442	0:00.134	decimal	Cue	
CC	1:30:00.577	0:00.124	decimal	Cue	
CC*	1:30:04.614	0:00.170	decimal	Cue	
CCX	1:30:09.711	0:00.128	decimal	Cue	
CCX	1:30:16.032	0:00.127	decimal	Cue	
CC*	1:30:32.485	0:00.180	decimal	Cue	
CC NONFOC	1:30:57.741	0:00.169	decimal	Cue	
CC# NONFOC	1:31:16.822	0:00.184	decimal	Cue	
CC	1:31:26.328	0:00.121	decimal	Cue	
CC NONFOC	1:31:42.414	0:00.187	decimal	Cue	
CC# NONFOC	1:31:54.826	0:00.044	decimal	Cue	
CC*	1:32:28.159	0:00.150	decimal	Cue	
CC*	1:33:24.039	0:00.111	decimal	Cue	
CC	1:33:33.348	0:00.224	decimal	Cue	
CC	1:33:42.101	0:00.119	decimal	Cue	
CCX NONFOC	1:34:03.906	0:00.150	decimal	Cue	
CCX	1:36:01.085	0:00.191	decimal	Cue	
CC	1:37:40.350	0:00.173	decimal	Cue	
CCX	1:38:17.125	0:00.124	decimal	Cue	
CC	1:39:07.392	0:00.141	decimal	Cue	
CCX	1:39:16.078	0:00.130	decimal	Cue	
CCX	1:39:28.962	0:00.143	decimal	Cue	
CCX	1:39:47.881	0:00.148	decimal	Cue	
CCX*	1:39:59.122	0:00.155	decimal	Cue	
CCX	1:40:16.673	0:00.125	decimal	Cue	
CCX	1:40:31.735	0:00.152	decimal	Cue	
CCX	1:41:23.000	0:00.174	decimal	Cue	
CCX	1:41:35.772	0:00.153	decimal	Cue	
CCX	1:43:55.957	0:00.183	decimal	Cue	
CC	1:44:22.897	0:00.201	decimal	Cue	
CCX	1:44:48.400	0:00.134	decimal	Cue	
SN	1:45:05.576	0:00.093	decimal	Cue	
AGG	1:45:23.618	0:00.181	decimal	Cue	
AGG	1:45:24.831	0:01.223	decimal	Cue	
CC	1:46:27.359	0:00.189	decimal	Cue	
CC*	1:47:22.624	0:00.091	decimal	Cue	
CC	1:47:29.307	0:00.129	decimal	Cue	
CC	1:49:09.586	0:00.172	decimal	Cue	
